Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Race,Race Code,Year,Year Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,Ohio,39,Black or African American,2054-5,2015,2015,Male,M,47,757982,6.2
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2011,2011,Female,F,326,4970587,6.56
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2011,2011,Male,M,430,4782547,8.99
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2012,2012,Female,F,332,4959973,6.69
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2012,2012,Male,M,453,4779306,9.48
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2013,2013,Female,F,388,4952980,7.83
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2013,2013,Male,M,492,4779640,10.29
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2014,2014,Female,F,349,4948261,7.05
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2014,2014,Male,M,436,4780065,9.12
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2015,2015,Female,F,338,4938644,6.84
,Brain and Other Nervous System,31010-31040,Ohio,39,White,2106-3,2015,2015,Male,M,440,4774166,9.22
,Brain and Other Nervous System,31010-31040,Oklahoma,40,American Indian or Alaska Native,1002-5,2013,2013,Male,M,19,200189,9.49
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2011,2011,Female,F,114,1507187,7.56
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2011,2011,Male,M,98,1476903,6.64
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2012,2012,Female,F,102,1515163,6.73
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2012,2012,Male,M,129,1486812,8.68
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2013,2013,Female,F,105,1524623,6.89
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2013,2013,Male,M,134,1497107,8.95
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2014,2014,Female,F,108,1530369,7.06
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2014,2014,Male,M,130,1503032,8.65
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2015,2015,Female,F,118,1538024,7.67
,Brain and Other Nervous System,31010-31040,Oklahoma,40,White,2106-3,2015,2015,Male,M,132,1510957,8.74
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2011,2011,Female,F,135,1769147,7.63
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2011,2011,Male,M,174,1733015,10.04
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2012,2012,Female,F,148,1779153,8.32
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2012,2012,Male,M,163,1744269,9.34
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2013,2013,Female,F,141,1788415,7.88
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2013,2013,Male,M,189,1752664,10.78
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2014,2014,Female,F,136,1803229,7.54
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2014,2014,Male,M,178,1767819,10.07
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2015,2015,Female,F,120,1824329,6.58
,Brain and Other Nervous System,31010-31040,Oregon,41,White,2106-3,2015,2015,Male,M,169,1788958,9.45
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2011,2011,Female,F,34,795949,4.27
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2011,2011,Male,M,34,733253,4.64
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2012,2012,Female,F,23,803661,2.86
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2012,2012,Male,M,41,743871,5.51
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2013,2013,Female,F,41,810435,5.06
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2013,2013,Male,M,34,753026,4.52
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2014,2014,Female,F,35,816895,4.28
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2014,2014,Male,M,41,760585,5.39
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2015,2015,Female,F,24,821775,2.92
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,Black or African American,2054-5,2015,2015,Male,M,36,767068,4.69
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2011,2011,Female,F,439,5499295,7.98
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2011,2011,Male,M,507,5267288,9.63
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2012,2012,Female,F,427,5490593,7.78
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2012,2012,Male,M,531,5268701,10.08
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2013,2013,Female,F,452,5473922,8.26
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2013,2013,Male,M,520,5262654,9.88
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2014,2014,Female,F,409,5460223,7.49
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2014,2014,Male,M,516,5254958,9.82
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2015,2015,Female,F,426,5443872,7.83
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,White,2106-3,2015,2015,Male,M,505,5245902,9.63
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2011,2011,Female,F,33,474589,6.95
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2011,2011,Male,M,45,443381,10.15
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2012,2012,Female,F,36,473008,7.61
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2012,2012,Male,M,35,442544,7.91
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2013,2013,Female,F,30,471442,6.36
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2013,2013,Male,M,31,441331,7.02
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2014,2014,Female,F,40,469916,8.51
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2014,2014,Male,M,40,440649,9.08
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2015,2015,Female,F,40,468192,8.54
,Brain and Other Nervous System,31010-31040,Rhode Island,44,White,2106-3,2015,2015,Male,M,35,440059,7.95
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2011,2011,Female,F,23,710401,3.24
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2011,2011,Male,M,29,629478,4.61
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2012,2012,Female,F,19,716545,2.65
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2012,2012,Male,M,31,634282,4.89
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2013,2013,Female,F,34,722003,4.71
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2013,2013,Male,M,26,639846,4.06
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2014,2014,Female,F,24,728713,3.29
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2014,2014,Male,M,25,645325,3.87
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2015,2015,Female,F,22,735323,2.99
,Brain and Other Nervous System,31010-31040,South Carolina,45,Black or African American,2054-5,2015,2015,Male,M,32,651137,4.91
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2011,2011,Female,F,127,1638042,7.75
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2011,2011,Male,M,155,1593338,9.73
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2012,2012,Female,F,115,1655201,6.95
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2012,2012,Male,M,151,1609743,9.38
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2013,2013,Female,F,119,1672674,7.11
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2013,2013,Male,M,152,1625131,9.35
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2014,2014,Female,F,116,1696008,6.84
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2014,2014,Male,M,183,1646197,11.12
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2015,2015,Female,F,138,1722129,8.01
,Brain and Other Nervous System,31010-31040,South Carolina,45,White,2106-3,2015,2015,Male,M,161,1669660,9.64
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2011,2011,Female,F,34,359943,9.45
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2011,2011,Male,M,46,361226,12.73
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2012,2012,Female,F,25,362198,6.9
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2012,2012,Male,M,35,364296,9.61
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2013,2013,Female,F,26,365181,7.12
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2013,2013,Male,M,37,367749,10.06
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2014,2014,Female,F,24,367743,6.53
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2014,2014,Male,M,37,370933,9.97
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2015,2015,Female,F,25,369187,6.77
,Brain and Other Nervous System,31010-31040,South Dakota,46,White,2106-3,2015,2015,Male,M,29,372879,7.78
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2011,2011,Male,M,21,526191,3.99
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2012,2012,Female,F,22,595794,3.69
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2012,2012,Male,M,23,535067,4.3
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2013,2013,Male,M,27,541016,4.99
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2014,2014,Female,F,19,607441,3.13
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2014,2014,Male,M,16,547464,2.92
,Brain and Other Nervous System,31010-31040,Tennessee,47,Black or African American,2054-5,2015,2015,Male,M,26,552892,4.7
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2011,2011,Female,F,190,2619278,7.25
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2011,2011,Male,M,238,2522941,9.43
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2012,2012,Female,F,193,2636285,7.32
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2012,2012,Male,M,212,2539848,8.35
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2013,2013,Female,F,173,2648519,6.53
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2013,2013,Male,M,239,2551621,9.37
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2014,2014,Female,F,179,2664320,6.72
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2014,2014,Male,M,224,2567647,8.72
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2015,2015,Female,F,174,2682133,6.49
,Brain and Other Nervous System,31010-31040,Tennessee,47,White,2106-3,2015,2015,Male,M,231,2583594,8.94
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2011,2011,Female,F,17,589596,2.88
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2011,2011,Male,M,22,560717,3.92
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2012,2012,Female,F,17,617347,2.75
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2012,2012,Male,M,27,587967,4.59
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2013,2013,Female,F,23,646393,3.56
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2014,2014,Female,F,19,680636,2.79
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2014,2014,Male,M,19,648818,2.93
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2015,2015,Female,F,22,717457,3.07
,Brain and Other Nervous System,31010-31040,Texas,48,Asian or Pacific Islander,A-PI,2015,2015,Male,M,26,683663,3.8
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2011,2011,Female,F,52,1670207,3.11
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2011,2011,Male,M,70,1563617,4.48
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2012,2012,Female,F,57,1707856,3.34
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2012,2012,Male,M,61,1600359,3.81
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2013,2013,Female,F,59,1743939,3.38
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2013,2013,Male,M,70,1636586,4.28
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2014,2014,Female,F,72,1784932,4.03
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2014,2014,Male,M,64,1676570,3.82
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2015,2015,Female,F,77,1828785,4.21
,Brain and Other Nervous System,31010-31040,Texas,48,Black or African American,2054-5,2015,2015,Male,M,70,1719316,4.07
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2011,2011,Female,F,655,10526906,6.22
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2011,2011,Male,M,839,10453763,8.03
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2012,2012,Female,F,625,10671009,5.86
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2012,2012,Male,M,813,10600157,7.67
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2013,2013,Female,F,664,10803180,6.15
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2013,2013,Male,M,855,10734561,7.96
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2014,2014,Female,F,630,10961200,5.75
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2014,2014,Male,M,829,10893949,7.61
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2015,2015,Female,F,671,11118191,6.04
,Brain and Other Nervous System,31010-31040,Texas,48,White,2106-3,2015,2015,Male,M,781,11055820,7.06
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2011,2011,Female,F,73,1308074,5.58
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2011,2011,Male,M,124,1318552,9.4
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2012,2012,Female,F,74,1323418,5.59
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2012,2012,Male,M,87,1336272,6.51
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2013,2013,Female,F,83,1342601,6.18
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2013,2013,Male,M,89,1356569,6.56
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2014,2014,Female,F,78,1358604,5.74
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2014,2014,Male,M,106,1373083,7.72
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2015,2015,Female,F,71,1378216,5.15
,Brain and Other Nervous System,31010-31040,Utah,49,White,2106-3,2015,2015,Male,M,119,1393953,8.54
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2011,2011,Female,F,20,307098,6.51
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2011,2011,Male,M,37,298496,12.4
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2012,2012,Female,F,21,306519,6.85
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2012,2012,Male,M,24,297998,8.05
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2013,2013,Female,F,19,306227,6.2
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2013,2013,Male,M,30,297978,10.07
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2014,2014,Female,F,28,305732,9.16
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2014,2014,Male,M,27,297392,9.08
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2015,2015,Female,F,19,304723,6.24
,Brain and Other Nervous System,31010-31040,Vermont,50,White,2106-3,2015,2015,Male,M,21,296615,7.08
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2011,2011,Female,F,29,865945,3.35
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2011,2011,Male,M,27,794931,3.4
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2012,2012,Female,F,44,874071,5.03
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2012,2012,Male,M,30,803760,3.73
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2013,2013,Female,F,22,882079,2.49
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2013,2013,Male,M,32,812164,3.94
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2014,2014,Female,F,39,889622,4.38
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2014,2014,Male,M,34,820063,4.15
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2015,2015,Female,F,21,897687,2.34
,Brain and Other Nervous System,31010-31040,Virginia,51,Black or African American,2054-5,2015,2015,Male,M,35,829065,4.22
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2011,2011,Female,F,193,2967583,6.5
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2011,2011,Male,M,219,2918483,7.5
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2012,2012,Female,F,214,2988519,7.16
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2012,2012,Male,M,257,2943802,8.73
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2013,2013,Female,F,204,3004639,6.79
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2013,2013,Male,M,226,2962152,7.63
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2014,2014,Female,F,212,3013875,7.03
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2014,2014,Male,M,254,2973182,8.54
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2015,2015,Female,F,197,3020122,6.52
,Brain and Other Nervous System,31010-31040,Virginia,51,White,2106-3,2015,2015,Male,M,219,2980589,7.35
,Brain and Other Nervous System,31010-31040,Washington,53,Asian or Pacific Islander,A-PI,2013,2013,Male,M,19,309067,6.15
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2011,2011,Female,F,215,2871658,7.49
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2011,2011,Male,M,268,2864494,9.36
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2012,2012,Female,F,221,2889263,7.65
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2012,2012,Male,M,273,2884213,9.47
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2013,2013,Female,F,208,2906096,7.16
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2013,2013,Male,M,284,2904080,9.78
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2014,2014,Female,F,215,2927585,7.34
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2014,2014,Male,M,285,2931095,9.72
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2015,2015,Female,F,223,2958182,7.54
,Brain and Other Nervous System,31010-31040,Washington,53,White,2106-3,2015,2015,Male,M,317,2964276,10.69
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2011,2011,Female,F,58,896176,6.47
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2011,2011,Male,M,73,867022,8.42
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2012,2012,Female,F,75,895556,8.37
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2012,2012,Male,M,70,867800,8.07
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2013,2013,Female,F,53,892508,5.94
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2013,2013,Male,M,88,865951,10.16
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2014,2014,Female,F,66,889759,7.42
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2014,2014,Male,M,85,862957,9.85
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2015,2015,Female,F,70,884977,7.91
,Brain and Other Nervous System,31010-31040,West Virginia,54,White,2106-3,2015,2015,Male,M,80,859453,9.31
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2011,2011,Female,F,210,2561342,8.2
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2011,2011,Male,M,244,2530907,9.64
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2012,2012,Female,F,183,2563460,7.14
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2012,2012,Male,M,218,2534842,8.6
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2013,2013,Female,F,211,2566483,8.22
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2013,2013,Male,M,222,2538664,8.74
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2014,2014,Female,F,175,2567755,6.82
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2014,2014,Male,M,275,2541900,10.82
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2015,2015,Female,F,176,2566827,6.86
,Brain and Other Nervous System,31010-31040,Wisconsin,55,White,2106-3,2015,2015,Male,M,238,2543237,9.36
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2011,2011,Male,M,20,274227,7.29
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2012,2012,Female,F,21,266331,7.88
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2012,2012,Male,M,21,277185,7.58
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2013,2013,Male,M,18,279024,6.45
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2014,2014,Female,F,20,268844,7.44
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2014,2014,Male,M,26,279958,9.29
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2015,2015,Female,F,23,270263,8.51
,Brain and Other Nervous System,31010-31040,Wyoming,56,White,2106-3,2015,2015,Male,M,22,281674,7.81
,Stomach,21020,Alabama,1,Black or African American,2054-5,2011,2011,Female,F,55,687819,8
,Stomach,21020,Alabama,1,Black or African American,2054-5,2011,2011,Male,M,67,600833,11.15
,Stomach,21020,Alabama,1,Black or African American,2054-5,2012,2012,Female,F,53,692223,7.66
,Stomach,21020,Alabama,1,Black or African American,2054-5,2012,2012,Male,M,80,605729,13.21
,Stomach,21020,Alabama,1,Black or African American,2054-5,2013,2013,Female,F,59,696742,8.47
,Stomach,21020,Alabama,1,Black or African American,2054-5,2013,2013,Male,M,59,610508,9.66
,Stomach,21020,Alabama,1,Black or African American,2054-5,2014,2014,Female,F,53,701059,7.56
,Stomach,21020,Alabama,1,Black or African American,2054-5,2014,2014,Male,M,72,613973,11.73
,Stomach,21020,Alabama,1,Black or African American,2054-5,2015,2015,Female,F,57,705276,8.08
,Stomach,21020,Alabama,1,Black or African American,2054-5,2015,2015,Male,M,76,618033,12.3
,Stomach,21020,Alabama,1,White,2106-3,2011,2011,Female,F,81,1730580,4.68
,Stomach,21020,Alabama,1,White,2106-3,2011,2011,Male,M,153,1677736,9.12
,Stomach,21020,Alabama,1,White,2106-3,2012,2012,Female,F,75,1733308,4.33
,Stomach,21020,Alabama,1,White,2106-3,2012,2012,Male,M,145,1679120,8.64
,Stomach,21020,Alabama,1,White,2106-3,2013,2013,Female,F,99,1734871,5.71
,Stomach,21020,Alabama,1,White,2106-3,2013,2013,Male,M,135,1679529,8.04
,Stomach,21020,Alabama,1,White,2106-3,2014,2014,Female,F,103,1737052,5.93
,Stomach,21020,Alabama,1,White,2106-3,2014,2014,Male,M,163,1680568,9.7
,Stomach,21020,Alabama,1,White,2106-3,2015,2015,Female,F,83,1737289,4.78
,Stomach,21020,Alabama,1,White,2106-3,2015,2015,Male,M,151,1679421,8.99
,Stomach,21020,Alaska,2,American Indian or Alaska Native,1002-5,2013,2013,Male,M,20,63196,31.65
,Stomach,21020,Alaska,2,White,2106-3,2011,2011,Male,M,20,270455,7.39
,Stomach,21020,Alaska,2,White,2106-3,2014,2014,Male,M,21,273790,7.67
,Stomach,21020,Alaska,2,White,2106-3,2015,2015,Male,M,21,273252,7.69
,Stomach,21020,Arizona,4,American Indian or Alaska Native,1002-5,2011,2011,Male,M,17,180710,9.41
,Stomach,21020,Arizona,4,American Indian or Alaska Native,1002-5,2012,2012,Male,M,16,184057,8.69
,Stomach,21020,Arizona,4,American Indian or Alaska Native,1002-5,2013,2013,Male,M,17,186598,9.11
,Stomach,21020,Arizona,4,White,2106-3,2011,2011,Female,F,117,2788178,4.2
,Stomach,21020,Arizona,4,White,2106-3,2011,2011,Male,M,231,2754565,8.39
,Stomach,21020,Arizona,4,White,2106-3,2012,2012,Female,F,114,2816706,4.05
,Stomach,21020,Arizona,4,White,2106-3,2012,2012,Male,M,234,2782701,8.41
,Stomach,21020,Arizona,4,White,2106-3,2013,2013,Female,F,130,2843978,4.57
,Stomach,21020,Arizona,4,White,2106-3,2013,2013,Male,M,209,2806827,7.45
,Stomach,21020,Arizona,4,White,2106-3,2014,2014,Female,F,107,2878205,3.72
,Stomach,21020,Arizona,4,White,2106-3,2014,2014,Male,M,249,2840796,8.77
,Stomach,21020,Arizona,4,White,2106-3,2015,2015,Female,F,134,2913189,4.6
,Stomach,21020,Arizona,4,White,2106-3,2015,2015,Male,M,222,2874247,7.72
,Stomach,21020,Arkansas,5,Black or African American,2054-5,2011,2011,Male,M,21,224427,9.36
,Stomach,21020,Arkansas,5,Black or African American,2054-5,2012,2012,Male,M,24,225508,10.64
,Stomach,21020,Arkansas,5,Black or African American,2054-5,2013,2013,Female,F,16,249036,6.42
